		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.804688	M = 30116	N = 8	m = 9	n = 240932
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101110000   69   61   75   46   37   49   59   70 21.663795 0.005578 FAILURE  92
101110100   63   75   72   66   75   62   79   68 22.344657 0.004316 FAILURE  93
101111000   53   16   18   43   61   27   26   43 107.672426 0.000000 FAILURE  94
101111100   57  111   64   77   75   78   80   51 74.323402 0.000000 FAILURE  95
110000000   67   38    7   24   30   22   21   24 162.130903 0.000000 FAILURE  96
110000010   57   52   69   42   66   58   55   72 11.903407 0.155566 SUCCESS  97
110000100   78   51   28   34   22   23   25   65 102.190090 0.000000 FAILURE  98
110001000   72   37   26   27   35   29   23   33 107.972192 0.000000 FAILURE  99
110001010   55   30   74  100   63   97   81   99 111.785071 0.000000 FAILURE 100
110010000   51   61   39   40   38   28   39   24 66.768258 0.000000 FAILURE 101
110010010   56  120  155  131  114  114  126   52 507.725803 0.000000 FAILURE 102
110010100   80   44   59   48   53   63   48   71 19.377771 0.012965 SUCCESS 103
110011000   67   30   32   46   29   30   52   75 66.926796 0.000000 FAILURE 104
110011010   68   41   24   48   37   29   32   79 74.203881 0.000000 FAILURE 105
110100000   60   20    0    5    5    2    3   42 305.596495 0.000000 FAILURE 106
110100010   47  154  129   71  131  128  109   73 474.769140 0.000000 FAILURE 107
110100100   65   82  108   61   94   78   83   51 92.406347 0.000000 FAILURE 108
110101000   51   23   38   41   33   27   32   65 79.606811 0.000000 FAILURE 109
110101010   67   66   44   40   64   48   45   87 32.022067 0.000092 FAILURE 110
110101100   57   51   14   28   28   26   31   39 109.218515 0.000000 FAILURE 111
110110000   51   18    9   11    6    4    8   24 282.695040 0.000000 FAILURE 112
110110010   52   83  108   85  104  105  117   68 200.219855 0.000000 FAILURE 113
110110100   59   68   69   48   40   73   61   37 23.575318 0.002699 FAILURE 114
110111000   56   38   56   44   19   34   32   88 78.046434 0.000000 FAILURE 115
110111010   53   50   54   42   39   47   49  112 68.126134 0.000000 FAILURE 116
110111100   50   19   16   20   10   16   18   60 191.332662 0.000000 FAILURE 117
111000000   68   48   55   50   53   57   45   56  9.296735 0.317885 SUCCESS 118
111000010   59   63   39   51   29   47   39   83 43.541485 0.000001 FAILURE 119
111000100   59   30   42   46   38   31   39   42 55.509315 0.000000 FAILURE 120
111000110   78   55   47   83   77   70   56   63 27.952285 0.000483 FAILURE 121
111001000   57   64   79   83   68   58   80   37 35.756914 0.000019 FAILURE 122
111001010   56   51   74   75   74   66   60   76 20.077317 0.010047 SUCCESS 123
111001100   65   16   20   27   19   31   37   62 127.158033 0.000000 FAILURE 124
111010000   52   82   59   37   84   68   54   71 34.307541 0.000036 FAILURE 125
111010010   59   54   82   72   74   61   74   60 21.159881 0.006735 FAILURE 126
111010100   40   18   35   38   26   21   29  108 155.308551 0.000000 FAILURE 127
111010110   50   80   29   28   71   57   33   67 57.133711 0.000000 FAILURE 128
111011000   48   74   69   44   70   91   51   41 38.872171 0.000005 FAILURE 129
111011010   55   90   48   54   46   42   75   51 33.358512 0.000053 FAILURE 130
111011100   53   38   45   45   28   32   44   63 48.391043 0.000000 FAILURE 131
111100000   67   83   90   74  108   85   90   85 116.452462 0.000000 FAILURE 132
111100010   58   45   34   81   65   43   57   52 28.783716 0.000346 FAILURE 133
111100100   51   78   88  150  114   78  101   55 260.399712 0.000000 FAILURE 134
111100110   70   39   21   32   39   45   37   86 78.482208 0.000000 FAILURE 135
111101000   46  128  105   78  140  136  103   80 394.052160 0.000000 FAILURE 136
111101010   56   48   40   44   43   31   43   71 37.258765 0.000010 FAILURE 137
111101100   46   87   70   67   97   89   92   43 85.704615 0.000000 FAILURE 138
111101110   71   43   42   46   25   35   44   47 51.221371 0.000000 FAILURE 139
111110000   67  110   95   97  108  105  101   87 221.334804 0.000000 FAILURE 140
111110010   52  102   89  124  107   94  102   56 219.977477 0.000000 FAILURE 141
111110100   55   76   73  115   82   81   85  105 132.245261 0.000000 FAILURE 142
111110110   53   87   62   65   60   82   94   49 48.385548 0.000000 FAILURE 143
111111000   67   86   53  108  116   97   76   82 155.177214 0.000000 FAILURE 144
111111010   49   46   32   94   59   58   43   88 58.383880 0.000000 FAILURE 145
111111100   65  111   65  102  106   92   54   67 142.199906 0.000000 FAILURE 146
111111110   58   77   45   87  105   92   62   62 80.426152 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.804688	M = 30116	N = 8	m = 9	n = 240932
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   41   32   48   33   38   45   43   40 53.544488 0.000000 FAILURE   0
000000011   33   35   39   27   31   38   42   35 82.495664 0.000000 FAILURE   1
000000101   38   33   50   45   44   60   47   49 32.055313 0.000091 FAILURE   2
000000111   66   62   53   35   45   54   34   52 27.037875 0.000696 FAILURE   3
000001001   34   29   41   44   33   41   30   40 73.961540 0.000000 FAILURE   4
000001011   22   34   34   47   46   71   44   64 57.736815 0.000000 FAILURE   5
000001101   60   43   45   42   36   47   35   37 42.655376 0.000001 FAILURE   6
000001111   49   51   30   26   38   32   26   27 93.233107 0.000000 FAILURE   7
000010001   48   50   47   31   40   41   35   51 42.289942 0.000001 FAILURE   8
000010011   56   56   63   69   52   74   46   50 11.534951 0.173190 SUCCESS   9
000010101   91   55   67   75   63   57   81   83 43.599185 0.000001 FAILURE  10
000010111   64   63   55   71   62   66   70   82 16.408963 0.036887 SUCCESS  11
000011001   35   51   51   54   51   46   57   49 18.214976 0.019671 SUCCESS  12
000011011   82   66   66   62   67   74   50   70 20.269925 0.009362 FAILURE  13
000011101   53   54   49   34   45   48   55   36 28.311949 0.000418 FAILURE  14
000011111   67   61   37   30   35   31   29   29 79.017995 0.000000 FAILURE  15
000100011   61   68   72   54   52   64   57   51  7.456651 0.488257 SUCCESS  16
000100101   42   23   47   40   54   38   37   50 53.918990 0.000000 FAILURE  17
000100111   58   74   77   79   54   73   59   88 36.004200 0.000018 FAILURE  18
000101001   69   89   72   73   71   53   73   77 37.039230 0.000011 FAILURE  19
000101011   12   24   32   40   48   38   50   58 89.715872 0.000000 FAILURE  20
000101101   43   45   62   63   62   65   56   63  9.534954 0.299193 SUCCESS  21
000101111   44   50   36   38   40   37   50   40 44.134147 0.000001 FAILURE  22
000110011   46   56   53   46   62   45   60   39 16.950245 0.030631 SUCCESS  23
000110101   37   37   45   53   56   51   52   47 25.138991 0.001472 FAILURE  24
000110111  148   87   90   79   76   95   90   85 235.581789 0.000000 FAILURE  25
000111001   49   68   61   78   62   74   67   78 21.641540 0.005625 FAILURE  26
000111011   87   81   63   55   60   59   70   49 27.126623 0.000672 FAILURE  27
000111101   30   39   38   43   48   43   28   42 61.589260 0.000000 FAILURE  28
000111111   77   74   33   38   31   29   30   23 95.552103 0.000000 FAILURE  29
