		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
011011111   39   61   52   54   54   40   64   61 15.388358 0.052020 SUCCESS  71
011101111   66   56   56   55   66   58   39   54  9.667649 0.289132 SUCCESS  72
011111111   63   63   72   60   62   59   53   71  7.091493 0.526794 SUCCESS  73
100000000   66   54   64   57   64   52   61   51  4.292992 0.829769 SUCCESS  74
100010000   57   75   51   60   69   74   58   59 11.663389 0.166866 SUCCESS  75
100100000   59   64   48   60   49   60   58   58  4.292511 0.829815 SUCCESS  76
100101000   66   54   45   49   55   64   61   55  7.427653 0.491271 SUCCESS  77
100110000   66   63   61   61   68   62   48   45  8.459284 0.389938 SUCCESS  78
100111000   55   62   71   58   48   61   54   55  5.859155 0.663005 SUCCESS  79
101000000   69   60   62   64   68   47   54   63  7.158532 0.519629 SUCCESS  80
101000100   58   64   70   65   68   65   75   55 10.389838 0.238723 SUCCESS  81
101001000   41   65   55   58   47   56   53   55  9.953667 0.268293 SUCCESS  82
101001100   54   60   72   54   61   58   63   48  6.357145 0.607293 SUCCESS  83
101010000   58   48   68   72   59   45   59   57 10.022630 0.263441 SUCCESS  84
101010100   59   58   80   66   66   62   74   53 14.561281 0.068259 SUCCESS  85
101011000   49   62   53   64   56   76   59   58  8.286258 0.406019 SUCCESS  86
101011100   51   72   59   54   57   58   49   67  7.479719 0.485866 SUCCESS  87
101100000   57   55   62   69   58   62   54   57  2.973008 0.936040 SUCCESS  88
101100100   61   55   59   59   47   55   64   49  5.212042 0.734691 SUCCESS  89
101101000   63   60   84   63   57   61   71   75 19.171643 0.013968 SUCCESS  90
101101100   76   48   63   51   59   51   68   54 11.597242 0.170099 SUCCESS  91
101110000   69   62   50   56   57   55   56   54  4.365664 0.822718 SUCCESS  92
101110100   66   64   64   57   47   53   54   59  5.366797 0.717749 SUCCESS  93
101111000   82   69   53   73   61   53   62   65 16.952735 0.030605 SUCCESS  94
101111100   58   59   73   54   59   61   56   57  4.241888 0.834667 SUCCESS  95
110000000   73   57   77   57   61   61   70   46 14.733826 0.064532 SUCCESS  96
110000010   61   48   60   67   60   61   56   73  7.134148 0.522231 SUCCESS  97
110000100   68   59   45   64   63   56   42   50 12.091455 0.147170 SUCCESS  98
110001000   56   63   47   64   61   72   52   53  7.926125 0.440720 SUCCESS  99
110001010   60   57   66   61   71   48   52   53  7.152419 0.520281 SUCCESS 100
110010000   69   49   45   62   52   55   63   65  9.102619 0.333713 SUCCESS 101
110010010   57   62   67   53   57   53   65   66  4.244704 0.834398 SUCCESS 102
110010100   63   49   51   52   64   55   56   50  6.117973 0.634019 SUCCESS 103
110011000   69   59   55   42   64   68   54   46 12.300130 0.138307 SUCCESS 104
110011010   60   67   56   61   56   70   62   56  4.088095 0.849089 SUCCESS 105
110100000   62   61   67   55   60   54   51   61  3.286708 0.915099 SUCCESS 106
110100010   53   67   68   55   60   68   72   57  8.143729 0.419558 SUCCESS 107
110100100   48   65   53   57   57   64   51   58  4.993064 0.758317 SUCCESS 108
110101000   59   58   60   65   48   57   62   58  3.013328 0.933518 SUCCESS 109
110101010   63   60   59   64   58   54   61   56  1.449981 0.993508 SUCCESS 110
110101100   52   57   41   56   69   74   63   59 12.782184 0.119567 SUCCESS 111
110110000   64   47   58   63   53   63   58   55  4.414433 0.817932 SUCCESS 112
110110010   56   58   56   67   47   56   65   53  5.325996 0.722232 SUCCESS 113
110110100   51   60   69   64   62   55   65   69  6.333723 0.609904 SUCCESS 114
110111000   78   59   43   61   53   48   62   47 16.233362 0.039159 SUCCESS 115
110111010   57   50   59   53   56   59   50   56  3.656182 0.886736 SUCCESS 116
110111100   73   50   57   63   67   47   52   64 10.193321 0.251719 SUCCESS 117
111000000   58   55   73   66   59   65   68   53  7.472713 0.486591 SUCCESS 118
111000010   59   61   46   68   47   59   49   51  9.669984 0.288957 SUCCESS 119
111000100   55   68   53   67   60   61   48   51  6.749150 0.563924 SUCCESS 120
111000110   59   58   58   56   63   58   65   65  1.831683 0.985744 SUCCESS 121
111001000   60   55   47   58   56   64   59   78  9.833669 0.276895 SUCCESS 122
111001010   56   53   61   54   62   65   42   48  9.096505 0.334220 SUCCESS 123
111001100   58   55   56   39   67   65   48   51 12.283232 0.139007 SUCCESS 124
111010000   61   60   69   57   55   52   55   70  5.521552 0.700651 SUCCESS 125
111010010   60   69   50   58   52   67   56   64  5.835251 0.665680 SUCCESS 126
111010100   55   49   57   64   51   57   62   62  3.965211 0.860248 SUCCESS 127
111010110   50   60   51   56   60   72   75   51 11.367479 0.181734 SUCCESS 128
111011000   59   69   55   61   56   57   60   56  2.526603 0.960479 SUCCESS 129
111011010   57   76   58   63   71   49   57   72 12.999789 0.111857 SUCCESS 130
111011100   59   59   57   52   66   52   55   42  7.819658 0.451282 SUCCESS 131
111100000   66   52   65   70   59   64   74   72 12.197028 0.142627 SUCCESS 132
111100010   52   62   61   68   72   43   57   60 10.101416 0.257980 SUCCESS 133
111100100   63   54   58   61   57   61   62   77  6.953154 0.541695 SUCCESS 134
111100110   59   56   64   49   58   64   48   53  5.436653 0.710048 SUCCESS 135
111101000   55   66   56   62   58   68   56   71  5.733043 0.677106 SUCCESS 136
111101010   57   48   56   55   55   53   60   53  3.969882 0.859831 SUCCESS 137
111101100   57   62   57   63   60   58   56   58  0.789749 0.999260 SUCCESS 138
111101110   60   49   63   54   49   50   56   46  8.508945 0.385396 SUCCESS 139
111110000   51   50   64   62   51   59   56   62  4.479137 0.811517 SUCCESS 140
111110010   54   59   68   60   51   71   60   67  6.809664 0.557301 SUCCESS 141
111110100   53   70   55   56   51   71   59   72  9.936839 0.269487 SUCCESS 142
111110110   54   66   58   56   57   53   62   52  3.110385 0.927240 SUCCESS 143
111111000   47   49   56   63   55   56   55   66  6.147989 0.630659 SUCCESS 144
111111010   49   78   54   45   61   61   64   59 12.571174 0.127481 SUCCESS 145
111111100   63   59   63   68   46   55   57   77 11.121781 0.194894 SUCCESS 146
111111110   63   63   72   60   62   59   53   71  7.091493 0.526794 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   66   56   58   70   59   62   60   49  5.159083 0.740446 SUCCESS   0
000000011   55   49   74   56   59   72   56   72 12.404261 0.134058 SUCCESS   1
000000101   62   65   47   60   60   54   54   55  4.422401 0.817146 SUCCESS   2
000000111   64   64   65   58   55   70   48   84 17.306754 0.027069 SUCCESS   3
000001001   60   72   68   56   70   57   62   61  7.234982 0.511505 SUCCESS   4
000001011   63   54   51   75   51   52   52   64  9.573408 0.296252 SUCCESS   5
000001101   65   60   69   57   62   72   78   70 14.505026 0.069515 SUCCESS   6
000001111   54   61   61   74   55   67   49   80 15.658990 0.047529 SUCCESS   7
000010001   57   58   53   60   59   53   53   62  2.052516 0.979359 SUCCESS   8
000010011   58   68   67   54   66   51   52   48  7.934092 0.439935 SUCCESS   9
000010101   57   55   48   53   69   68   61   43 10.749902 0.216277 SUCCESS  10
000010111   63   55   52   58   49   60   52   66  4.830822 0.775496 SUCCESS  11
000011001   62   55   62   64   57   52   63   62  2.448298 0.964098 SUCCESS  12
000011011   66   52   58   63   67   74   65   67  9.139710 0.330648 SUCCESS  13
000011101   68   46   61   47   55   64   60   46 10.544043 0.228896 SUCCESS  14
000011111   54   59   57   64   53   68   52   70  6.035478 0.643258 SUCCESS  15
